date,eta_z_H,eta_p_H,eta_x_H,eta_g_H,eta_z_F,eta_p_F,eta_x_F,eta_g_F,eta_r,init_values,steady_state
2023,4.82520499065377e-05,-0.000129626928717703,1.23532676232798e-05,-2.0698635155315e-05,0.00119037844911964,0.00055252119996823,-1.33633987411094e-06,6.56151105234793e-05,0.00439905713715999,-1.33488272170967e-05,0.00610316648333693
2023.25,0.000308442490772163,-4.46597833163409e-05,1.45587807123861e-05,-1.24152398869997e-05,0.00179036977334192,0.000642135655744064,-9.68981150071492e-07,7.73298235464512e-05,0.00824378018376539,-1.32992220247628e-05,0.0110052734815042
2023.5,0.000443667013234764,3.5781907578032e-05,1.57063626478401e-05,-2.91049100150299e-06,0.00214479981853696,0.000618833777948241,-4.55039042086608e-07,8.34252727689437e-05,0.00118691997667828,-1.32474497880532e-05,0.00451252114956142
2023.75,0.000616066632652718,0.000101833836781621,9.73931071437822e-06,3.10108679456182e-06,0.00131659255695589,0.000563253939269636,-2.08628512633182e-07,5.17309240303473e-05,-0.00818848938884631,-1.31938040431887e-05,-0.00553957353420298
2024,0.000685874889642605,0.000155678558679083,5.62505094088106e-06,1.04179835723259e-05,0.000964501554962736,0.00046404062903859,2.10131114705583e-07,2.98777902690756e-05,-0.00247066706541417,-1.31385579475005e-05,-0.00016757903514167
2024.25,0.000667052553220389,0.000191380268406168,2.91851716440747e-06,1.61827804935335e-05,0.000924513512226903,0.000351517252689625,5.94359143896797e-07,1.55018762765562e-05,0.00613599727677034,-1.30819653622015e-05,0.00829257643102962
2024.5,0.000539266154594168,0.000207114500915739,1.23443791317066e-06,1.95828232158907e-05,0.000717891229158016,0.000182379139116743,8.7831230008811e-07,6.55678987755675e-06,-0.000706511266812741,-1.30242618856982e-05,0.000955367858392933
2024.75,0.000330667487430096,0.000200395575428124,-7.24107320619265e-07,2.07091447316505e-05,0.000419669242143067,3.85156292827043e-06,1.06548729004974e-06,-3.84613879681131e-06,-0.00542236309401632,-1.29656658403796e-05,-0.00446354050602287
2025,0.000168282547958092,0.000175494580165077,-2.43452223305961e-06,1.80153101574136e-05,8.41716188602941e-05,-8.24926729136876e-05,9.83122437308388e-07,-1.29311086155891e-05,-0.00146172750081273,-1.29063792155498e-05,-0.00112554500421243
2025.25,6.27628593500247e-05,0.000145141162525497,-6.68938597437125e-06,1.37609409825963e-05,-0.00048651753869202,-0.000133907201040907,7.69382504356695e-07,-3.55310686555052e-05,0.00445092166153754,-1.28465885685302e-05,0.00399786422396868
2025.5,1.85305906870271e-06,0.000116163651434506,-4.59203967710181e-06,9.56531206871023e-06,-0.000282539136753657,-9.85769688817713e-05,5.39647162715311e-07,-2.43908899353417e-05,0.00134750975728952,-1.27864658860284e-05,0.00105274592589025
